t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,-5,4.5,1.2,0.061599,0,0,0.9981,0,0,0,0,0,0,0,0,0,0,0,0,2.0088,1.5944,2.968,3.3824,0,0,0,-280.76,124.13,-332.86
0.01,-5,4.5,1.2,0.061599,-0.00064287,-0.00010572,0.9981,-4.3465e-05,1.7752e-06,-3.1073e-05,-0.12893,0.23145,-4.8301e-05,-0.012703,-0.0012919,-0.0069996,0,0,0,1.3356,2.8866,3.6216,2.1028,-2.4057,-0.97492,-0.49429,-199.76,-305.87,210.71
0.02,-5,4.5,1.2,0.061598,-0.0022047,-0.0017968,0.9981,-0.0003206,-0.00012651,-7.1988e-05,-0.64121,0.32797,-0.00070729,-0.045358,-0.03253,0.0059557,0,0,0,0.82174,4.0242,4.0427,1.0713,-3.9851,-5.861,3.7677,-115.7,-658.95,620.32
0.03,-5,4.5,1.2,0.35177,0.0065358,0.0045161,-0.93605,-0.00098915,-0.00086728,0.00029277,-0.74045,1.2674,-0.0032626,-0.089566,-0.12906,0.079922,0,0,0,-0.59466,2.8421,5.2679,2.5208,-4.7134,-13.914,11.504,-29.737,-940.14,907.49
0.04,-5,4.5,1.2,0.45933,0.013329,0.010969,-0.8881,-0.0021218,-0.0030201,0.0018271,-1.0173,2.1728,-0.0093062,-0.13674,-0.31905,0.24371,0,0,0,-1.0735,2.6462,5.4678,3.1667,-4.5773,-24.441,21.548,56.969,-1154.5,1083.8
0.05,-5.0001,4.4999,1.2,0.52716,0.023243,0.021096,-0.84918,-0.003705,-0.0076322,0.0055266,-1.2315,3.1394,-0.02025,-0.17823,-0.62398,0.51505,0,0,0,-1.1152,2.7594,5.1898,3.6633,-3.5754,-36.798,32.848,143.25,-1307.1,1160.7
0.06,-5.0001,4.4998,1.2001,0.57131,0.036019,0.034945,-0.8192,-0.0056386,-0.015934,0.012514,-1.398,4.0173,-0.036921,-0.2054,-1.0591,0.90173,0,0,0,-0.80108,3.1928,4.5857,3.9466,-1.7175,-50.394,44.469,227.95,-1403,1149.8
0.07,-5.0002,4.4996,1.2003,0.60111,0.050991,0.052106,-0.79583,-0.007737,-0.029282,0.023943,-1.529,4.7033,-0.05938,-0.20979,-1.6342,1.4028,0,0,0,-0.24549,3.8378,3.8414,4.066,0.97449,-64.687,55.59,309.9,-1447.3,1062.6
0.08,-5.0003,4.4992,1.2006,0.62165,0.067271,0.071861,-0.77709,-0.0097313,-0.0491,0.040922,-1.6339,5.1506,-0.087017,-0.18324,-2.3536,2.0095,0,0,0,0.4241,4.558,3.1335,4.1148,4.4674,-79.184,65.506,387.94,-1444.9,910.74
0.09,-5.0004,4.4986,1.2011,0.63577,0.083947,0.093383,-0.76159,-0.011272,-0.076834,0.064436,-1.721,5.3653,-0.11886,-0.11792,-3.2171,2.7069,0,0,0,1.0957,5.2455,2.5891,4.1844,8.7163,-93.447,73.627,460.9,-1401.1,705.66
