t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,-5,4.5,1.2,0.7082,-0,0,-0.70601,0,0,0,0,0,0,0,0,0,0,0,0,0.092267,4.8846,4.8698,0.10706,0,0,0,-0.08286,-11264,14074
0.01,-5,4.5,1.2,0.70824,0.017031,0.017145,-0.70556,6.7111e-06,-0.0017271,0.002097,-0.03859,8.5904,-0.00063248,0.0026421,-0.50367,0.60527,0,0,0,1.5829,3.7112,3.7498,1.5365,0.77136,-95.054,111.73,145.78,-7854.5,8474.3
0.02,-5,4.4999,1.2001,0.70766,0.0527,0.053464,-0.70255,0.00010063,-0.012702,0.01495,-0.12495,10.942,-0.0064666,0.019458,-1.7979,2.0676,0,0,0,3.0604,3.0511,3.0888,2.9895,2.754,-159.15,173.35,243.17,-5061.8,4033.7
0.03,-5,4.4997,1.2004,0.70477,0.089311,0.091438,-0.69783,0.00047622,-0.039383,0.044812,-0.22148,9.995,-0.019766,0.060237,-3.603,3.9421,0,0,0,3.9691,3.2718,3.2929,3.8925,5.4931,-198.15,195.88,298.05,-2828.2,637.65
0.04,-5,4.4991,1.201,0.70037,0.12035,0.12457,-0.69245,0.0014041,-0.085714,0.094019,-0.31298,8.3769,-0.03803,0.13052,-5.6952,5.888,0,0,0,4.5933,3.9137,3.9204,4.5195,8.5932,-217.38,189.2,316.38,-1096.1,-1828.3
0.05,-5,4.4979,1.2023,0.6951,0.14555,0.15263,-0.68728,0.0031915,-0.15366,0.16198,-0.39901,7.0501,-0.058586,0.23218,-7.9006,7.6579,0,0,0,5.128,4.6366,4.6343,5.0585,11.719,-221.56,162.03,304.11,191.88,-3478.5
0.06,-4.9999,4.4959,1.2043,0.68913,0.16632,0.17709,-0.68269,0.0061486,-0.24367,0.24603,-0.48384,6.1666,-0.079946,0.36405,-10.09,9.0858,0,0,0,5.61,5.2977,5.2908,5.544,14.593,-214.83,121.97,267.22,1093.3,-4427.2
0.07,-4.9998,4.493,1.2073,0.68233,0.18405,0.19951,-0.67878,0.010561,-0.3551,0.34223,-0.57248,5.6535,-0.10129,0.52248,-12.173,10.076,0,0,0,6.0236,5.8466,5.8379,5.9605,17.001,-200.79,75.447,211.66,1665.7,-4788.9
0.08,-4.9997,4.4888,1.2112,0.6744,0.19976,0.22109,-0.67557,0.016669,-0.48657,0.44596,-0.66982,5.4085,-0.12189,0.70198,-14.091,10.591,0,0,0,6.3516,6.2691,6.2608,6.2922,18.784,-182.42,27.768,143.39,1966.6,-4677.7
0.09,-4.9995,4.4832,1.2162,0.66494,0.21404,0.24272,-0.67314,0.024648,-0.63628,0.55249,-0.78077,5.3421,-0.14075,0.89575,-15.815,10.641,0,0,0,6.589,6.5677,6.5617,6.5354,19.846,-162.17,-16.912,68.37,2053.5,-4208.1
0.1,-4.9992,4.476,1.2222,0.65345,0.22713,0.26506,-0.67168,0.034606,-0.80219,0.65739,-0.91084,5.3788,-0.15649,1.0964,-17.335,10.273,0,0,0,6.7422,6.755,6.7526,6.6981,20.149,-141.87,-55.58,-7.4361,1983.9,-3494.3
0.11,-4.9988,4.4671,1.2293,0.63926,0.23888,0.28861,-0.67156,0.046573,-0.98231,0.75679,-1.0671,5.4511,-0.16743,1.2963,-18.657,9.5562,0,0,0,6.8257,6.8496,6.8518,6.7965,19.715,-122.82,-86.365,-78.069,1815.3,-2650.7
0.12,-4.9983,4.4563,1.2374,0.62137,0.24868,0.3138,-0.67349,0.060506,-1.1747,0.84763,-1.2601,5.4969,-0.17195,1.4885,-19.798,8.5745,0,0,0,6.8578,6.8747,6.8807,6.8486,18.625,-105.71,-108.54,-137.57,1605.2,-1791.7
0.13,-4.9976,4.4435,1.2462,0.59817,0.25527,0.34117,-0.6787,0.076297,-1.3777,0.92768,-1.5083,5.4612,-0.1692,1.667,-20.778,7.4128,0,0,0,6.8557,6.8548,6.8617,6.8704,17.019,-90.674,-122.5,-180.7,1405.4,-1019.7
0.14,-4.9967,4.4287,1.2559,0.56661,0.25624,0.37163,-0.68934,0.093787,-1.5898,0.99554,-1.8446,5.2921,-0.15935,1.8277,-21.617,6.1482,0,0,0,6.833,6.8114,6.8132,6.8761,15.067,-77.518,-129.31,-207.04,1229.7,-359.18
0.15,-4.9957,4.4117,1.2661,0.52037,0.24679,0.40687,-0.70906,0.11278,-1.8097,1.0505,-2.3213,4.9161,-0.14314,1.9678,-22.334,4.8469,0,0,0,6.7975,6.7632,6.7485,6.8767,12.929,-66.004,-130.04,-218.08,1076.7,196.55
0.16,-4.9945,4.3925,1.2768,0.44586,0.21693,0.44938,-0.7431,0.13307,-2.0361,1.0925,-3.0018,4.1892,-0.122,2.0861,-22.942,3.5644,0,0,0,6.7495,6.7293,6.6785,6.8783,10.751,-55.913,-125.7,-215.33,944.95,654.47
0.17,-4.993,4.371,1.2879,0.31851,0.1485,0.49871,-0.79233,0.15443,-2.2682,1.122,-3.8224,2.8328,-0.098082,2.1831,-23.456,2.3466,0,0,0,6.6798,6.7313,6.6172,6.8768,8.6632,-47.039,-117.25,-200.29,832.93,1021.5
0.18,-4.9914,4.3471,1.2992,0.13305,0.034691,0.53837,-0.83141,0.17666,-2.505,1.1398,-4.1787,0.82897,-0.074214,2.2601,-23.886,1.2302,0,0,0,6.5889,6.7754,6.5912,6.8504,6.781,-39.193,-105.55,-174.48,739.2,1304.5
0.19,-4.9895,4.3209,1.3107,0.02868,0.072043,-0.55143,0.83061,0.19958,-2.7457,1.1471,-3.616,-0.68133,-0.053689,2.3197,-24.243,0.24361,0,0,0,6.519,6.8214,6.6012,6.7994,5.2046,-32.199,-91.417,-139.38,662.28,1510.5
0.2,-4.9874,4.2922,1.3221,0.10073,0.12385,-0.55639,0.81544,0.22301,-2.9896,1.1452,-2.8434,-1.0732,-0.03995,2.3655,-24.533,-0.59249,0,0,0,6.4914,6.8465,6.6044,6.7649,4.0192,-25.896,-75.577,-96.524,600.71,1646.3
