t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,-5,4.5,1.2,0.80259,-0,0,-0.59653,0,0,0,0,0,0,0,0,0,0,0,0,2.3615,2.6153,2.6151,2.3618,0,0,0,171.79,-572.49,116.07
0.01,-5,4.5,1.2,0.80259,0.00088742,0.0011955,-0.59653,2.8262e-05,-9.3784e-05,1.9022e-05,-0.00084784,0.58848,-7.0629e-07,0.0084419,-0.027973,0.0056746,0,0,0,2.3724,2.6073,2.6083,2.3715,1.6737,-5.53,1.1221,162.99,-533.69,108.4
0.02,-5,4.5,1.2,0.80258,0.0034564,0.0046722,-0.59652,0.00022317,-0.00073738,0.00014963,-0.0044462,1.1331,-1.1036e-05,0.033185,-0.10932,0.022191,0,0,0,2.3867,2.6018,2.6038,2.3846,3.2606,-10.677,2.1686,154.42,-495.99,100.94
0.03,-5,4.5,1.2,0.80331,0.0075752,0.010247,-0.59542,0.00074344,-0.0024456,0.00049648,-0.0063226,1.6316,-5.4432e-05,0.073371,-0.24028,0.048802,0,0,0,2.4043,2.5991,2.6015,2.4016,4.7627,-15.453,3.1416,146.05,-459.36,93.696
0.04,-5,4.4999,1.2,0.80355,0.013086,0.017741,-0.59483,0.0017393,-0.0056962,0.0011569,-0.011171,2.0815,-0.00016717,0.12816,-0.41719,0.084785,0,0,0,2.4258,2.5992,2.6023,2.4222,6.1822,-19.868,4.0433,137.89,-423.8,86.663
0.05,-5,4.4999,1.2,0.80367,0.019836,0.026956,-0.59414,0.0033527,-0.010931,0.0022211,-0.017321,2.4807,-0.00039549,0.19675,-0.63648,0.12944,0,0,0,2.4517,2.6027,2.6063,2.447,7.5211,-23.933,4.8756,129.93,-389.29,79.837
0.06,-4.9999,4.4997,1.2001,0.80361,0.027664,0.037686,-0.59332,0.0057175,-0.018556,0.0037722,-0.02471,2.8271,-0.00079232,0.27833,-0.89471,0.18207,0,0,0,2.4822,2.6102,2.6142,2.4765,8.7815,-27.657,5.6407,122.18,-355.82,73.217
0.07,-4.9998,4.4995,1.2001,0.80334,0.036402,0.049714,-0.59233,0.0089599,-0.028943,0.0058869,-0.03326,3.1192,-0.0014137,0.37212,-1.1885,0.24203,0,0,0,2.5177,2.6223,2.6264,2.511,9.9654,-31.053,6.3406,114.63,-323.38,66.799
0.08,-4.9997,4.4991,1.2002,0.8028,0.045877,0.062819,-0.59115,0.013198,-0.042434,0.0086352,-0.042876,3.3558,-0.0023149,0.47738,-1.5147,0.30867,0,0,0,2.5587,2.6395,2.6437,2.5509,11.075,-34.128,6.9773,107.27,-291.96,60.582
0.09,-4.9996,4.4986,1.2003,0.80198,0.055916,0.076776,-0.58975,0.018543,-0.059335,0.012081,-0.05345,3.5372,-0.0035469,0.59337,-1.8701,0.38138,0,0,0,2.6051,2.6627,2.6668,2.5962,12.111,-36.895,7.5529,100.12,-261.54,54.562
0.1,-4.9994,4.4979,1.2004,0.80084,0.066347,0.091359,-0.58813,0.025099,-0.079922,0.016281,-0.06486,3.6645,-0.0051531,0.71938,-2.2516,0.45953,0,0,0,2.6572,2.6922,2.6961,2.6472,13.078,-39.362,8.0692,93.154,-232.11,48.739
0.11,-4.9991,4.497,1.2006,0.79939,0.077006,0.10635,-0.58629,0.032962,-0.10444,0.021288,-0.07698,3.74,-0.007167,0.8547,-2.6563,0.54257,0,0,0,2.7148,2.7287,2.7322,2.7038,13.975,-41.54,8.5283,86.384,-203.66,43.108
0.12,-4.9987,4.4958,1.2009,0.79762,0.087736,0.12155,-0.58423,0.042222,-0.13312,0.027147,-0.089683,3.7676,-0.0096105,0.99866,-3.0815,0.62992,0,0,0,2.7778,2.7725,2.7754,2.7659,14.806,-43.439,8.932,79.804,-176.18,37.667
0.13,-4.9982,4.4943,1.2012,0.79556,0.098396,0.13677,-0.58198,0.052962,-0.16613,0.033898,-0.10284,3.752,-0.012494,1.1506,-3.5242,0.72103,0,0,0,2.846,2.8236,2.8259,2.8332,15.572,-45.067,9.2823,73.411,-149.65,32.415
0.14,-4.9976,4.4925,1.2015,0.79323,0.10886,0.15184,-0.57955,0.065258,-0.20365,0.041578,-0.11634,3.6985,-0.015817,1.3099,-3.9819,0.81539,0,0,0,2.9191,2.8821,2.8838,2.9055,16.275,-46.435,9.5809,67.203,-124.07,27.348
